iter	Passed	Remaining
212	101672	375663
213	102174	375275
214	102613	374659
215	103112	374261
216	103612	373866
217	104180	373710
218	104536	372799
219	104959	372129
220	105530	371983
221	106006	371499
222	106399	370729
223	106805	370005
224	107257	369442
225	107707	368874
226	108096	368100
227	108644	367866
228	109106	367341
229	109524	366667
230	109871	365761
231	110258	364993
232	110729	364503
233	111177	363939
234	111643	363436
235	112042	362714
236	112596	362495
237	113056	361971
238	113572	361627
239	114038	361123
240	114579	360854
241	114982	360153
242	115351	359347
243	115856	358963
244	116231	358182
245	116648	357531
246	117063	356877
247	117434	356092
248	117780	355232
249	118183	354551
250	118780	354449
251	119150	353669
252	119625	353203
253	120092	352712
254	120464	351945
255	120844	351205
256	121291	350658
257	121624	349787
258	122052	349192
259	122443	348492
260	122861	347872
261	123338	347420
262	123691	346617
263	124070	345892
264	124536	345411
265	124977	344861
266	125455	344415
267	125922	343938
268	126530	343842
269	126909	343126
270	127293	342424
271	127729	341865
272	128308	341685
273	128813	341309
274	129272	340809
275	129690	340203
276	130074	339509
277	130652	339321
278	131046	338655
279	131542	338252
280	131976	337691
281	132382	337058
282	132838	336555
283	133219	335864
284	133646	335287
285	134092	334763
286	134490	334118
287	134899	333501
288	135269	332791
289	135602	331993
290	136095	331587
291	136557	331104
292	136995	330565
293	137495	330177
294	137946	329668
295	138365	329086
296	138755	328435
297	139121	327730
298	139556	327187
299	140005	326679
300	140401	326048
301	140831	325497
302	141227	324870
303	141618	324232
304	141993	323558
305	142390	322937
306	142798	322342
307	143127	321571
308	143502	320906
309	143985	320484
310	144400	319909
311	144839	319390
312	145185	318666
313	145608	318112
314	146046	317593
315	146568	317254
316	146945	316604
317	147343	316001
318	147727	315368
319	148259	315050
320	148649	314433
321	148994	313720
322	149471	313288
323	149882	312716
324	150330	312224
325	150726	311625
326	151086	310951
327	151444	310276
328	151800	309599
329	152207	309028
330	152522	308270
331	153028	307900
332	153411	307283
333	153912	306903
334	154357	306410
335	154773	305862
336	155131	305198
337	155515	304589
338	155909	304000
339	156267	303342
340	156839	303099
341	157315	302672
342	157881	302414
343	158491	302239
344	159032	301930
345	159670	301805
346	160115	301312
347	160741	301158
348	161200	300691
349	161537	299998
350	162031	299596
351	162558	299254
352	162925	298620
353	163273	297951
354	163703	297433
355	164159	296962
356	164638	296533
357	165013	295918
358	165397	295319
359	165759	294683
360	166097	294007
361	166510	293463
362	166924	292922
363	167407	292503
364	167752	291843
365	168214	291388
366	168594	290790
367	168980	290205
368	169338	289572
369	169744	289024
370	170156	288485
371	170659	288102
372	171046	287523
373	171448	286969
374	171916	286526
375	172443	286182
376	172983	285859
377	173403	285336
378	173814	284799
379	174196	284215
380	174517	283534
381	174910	282969
382	175335	282459
383	175852	282097
384	176331	281671
385	176663	281013
386	177143	280590
387	177574	280091
388	177935	279482
389	178272	278837
390	178592	278166
391	179014	277654
392	179486	277221
393	179872	276656
394	180236	276058
395	180732	275662
396	181309	275389
397	181698	274829
